Training CBOW_CrossEntropyLoss_SGD-lr0.020...
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 21 | Loss 0.03627831833042115
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 22 | Loss 0.036197149491693864
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 23 | Loss 0.036119778212732066
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 24 | Loss 0.036046061903169106
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 25 | Loss 0.03597540983148589
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 26 | Loss 0.03590823521874503
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 27 | Loss 0.03584380474306077
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 28 | Loss 0.03578164407321337
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 29 | Loss 0.03572237013078924
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 30 | Loss 0.03566523504386522
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 31 | Loss 0.03560954914066781
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 32 | Loss 0.035555952622843286
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 33 | Loss 0.0355041806797107
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 34 | Loss 0.03545434971156937
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 35 | Loss 0.035405930097057364
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 36 | Loss 0.03535899749636924
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 37 | Loss 0.03531316778851723
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 38 | Loss 0.03526879017439931
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 39 | Loss 0.03522613819471889
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 40 | Loss 0.03518397800630312
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 41 | Loss 0.03514287124059625
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 42 | Loss 0.03510334460895273
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 43 | Loss 0.03506451928911264
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 44 | Loss 0.0350268259621835
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 45 | Loss 0.03499013076782107
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 46 | Loss 0.03495417471535937
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 47 | Loss 0.034918838494491566
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 48 | Loss 0.03488459061642246
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 49 | Loss 0.03485094801990985
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 50 | Loss 0.034817945625043534
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 51 | Loss 0.034786174163342586
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 52 | Loss 0.034754632592232805
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 53 | Loss 0.03472380979297136
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 54 | Loss 0.034693429314847354
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 55 | Loss 0.03466391019893836
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 56 | Loss 0.03463473155390488
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 57 | Loss 0.0346062804107422
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 58 | Loss 0.034578440369150976
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 59 | Loss 0.034551266719273395
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 60 | Loss 0.03452461396073529
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 61 | Loss 0.03449822310287067
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 62 | Loss 0.03447216398585913
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 63 | Loss 0.03444668396033674
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 64 | Loss 0.03442178011629601
Training | CBOW_CrossEntropyLoss_SGD-lr0.001 | Epoch 65 | Loss 0.034397499013856664
